player_id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1st_serve_strength,2nd_serve_press,bp_convert,serve_aggression,player,height,dob,hand,ioc
100644,7.575834616868165,3.8809085103708054,77.88209778120823,49.68491400503416,36.50712854427283,14.191667412098326,12.4869354352533,3.5642176400985313,5.884389896959271,0.46874865449607145,0.503300880142858,0.6057072530051625,1.9520776068548826,Alexander Zverev,198.0,19970420,R,GER
100653,4.1302684409774,3.327813467936217,74.84883560858093,45.13171962831249,29.365498451302056,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.45230097886807696,0.5421288022252165,1.2411357993353749,Andres Gomez,193.0,19600227,L,ECU
101266,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Trey Carter,188.0,19660702,R,USA
101305,0.0,5.0,90.0,51.0,31.0,18.0,10.0,10.0,14.0,0.34444444444444444,0.46153846153846156,0.7142857142857143,0.0,Jeff Greenwald,,19661110,R,USA
101316,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Juan Rios,185.0,19661215,R,PUR
101339,3.248586813123781,5.444387403923368,65.96467247906389,37.135262991855,25.42182803716875,13.055300705517954,10.040349780311807,4.125754273259149,7.3908892107376385,0.38538549623265733,0.452846622172763,0.558221636885744,0.5966854608501794,Agustin Moreno,180.0,19670331,R,MEX
101389,4.619475354670949,3.0757619211502427,73.95618140797676,44.98346143550916,30.669708615349318,14.000441665710682,11.345768946911555,4.150871859584719,7.242656112576957,0.4147010842293346,0.4832284189753369,0.5731145860117094,1.501896264430129,Oren Motevassel,170.0,19670826,L,USA
101404,1.9230769230769231,3.5,64.96153846153847,36.38461538461539,21.807692307692307,12.653846153846153,9.846153846153847,4.423076923076923,8.653846153846153,0.3357015985790408,0.44279946164199185,0.5111111111111112,0.5494505478806908,Thomas Muster,180.0,19671002,L,AUT
101481,4.1302684409774,3.327813467936217,74.84883560858093,45.13171962831249,29.365498451302056,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.45230097886807696,0.5421288022252165,1.2411357993353749,Omar Camporese,188.0,19680508,R,ITA
101492,6.5651342204887,2.1639067339681084,75.42441780429047,48.56585981415625,33.68274922565102,13.720540323505794,11.1427457008799,5.276709303659516,7.699572674085121,0.4465761911885119,0.5108442653006788,0.685324955944585,3.033926595399278,Sander Groen,190.0,19680616,L,NED
101495,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Miguel Tobon,185.0,20060619,R,COL
101509,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Patrick Flynn,183.0,19680816,R,AUS
101532,1.8333333333333333,2.1666666666666665,72.5,46.333333333333336,26.0,11.833333333333334,10.666666666666666,5.666666666666667,10.333333333333334,0.3586206896551724,0.4522292993630574,0.5483870967741935,0.8461538422485207,Francisco Clavet,183.0,19681024,L,ESP
101535,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Lucian Vespan,,19681030,R,ROU
101543,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Jeff Tarango,180.0,19681120,L,USA
101549,4.864078811517723,2.949736147757256,73.50985430767466,44.90933233910749,31.32181369737295,14.280122175060228,11.375907719487433,3.949598485717564,6.664411494780314,0.42608999830520483,0.4992958586823874,0.5926402487017736,1.6489877573375855,Rodolphe Gilbert,183.0,19681212,L,FRA
101662,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Selvam Veerasingam,,19691108,R,MAS
101723,8.0,4.0,85.33333333333333,56.666666666666664,42.666666666666664,11.666666666666666,13.666666666666666,4.0,7.0,0.5,0.4069767441860465,0.5714285714285714,1.999999995,Magnus Larsson,193.0,19700325,R,SWE
101736,6.461707595920197,2.486679698499275,78.40737313191569,47.50717863213992,35.38483520967389,16.94251228007968,12.560062402292726,3.7278797569013524,5.5613539244110255,0.451294741760332,0.5482979170309955,0.6703187402869982,2.5985283001403805,Andre Agassi,180.0,19700429,R,USA
101746,3.4,1.2,62.6,38.6,24.4,11.6,9.6,3.6,6.8,0.389776357827476,0.48333333333333334,0.5294117647058824,2.8333333097222226,Renzo Furlan,175.0,19700517,R,ITA
101750,2.0,3.0,100.0,63.0,35.0,11.0,15.0,9.0,17.0,0.35,0.2972972972972973,0.5294117647058824,0.6666666644444444,Cristiano Caratti,178.0,19700524,R,ITA
101772,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Andrei Cherkasov,180.0,19700704,R,RUS
101774,9.83815809040657,4.438067165479119,92.92032724476225,57.20858220845602,42.883907350048226,17.99781780174117,14.547610792657771,4.205682170641445,6.699968346228527,0.46151265951837805,0.5039747507001898,0.6277167224243473,2.2167663763098573,Todd Martin,198.0,19700708,R,USA
101775,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Frederik Fetterlein,190.0,19700711,R,DEN
101779,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Pavel Vizner,183.0,19700715,R,CZE
101790,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Elmar Gerth,,19700811,R,AHO
101806,8.7100894803258,6.109271155978739,85.28294520286032,44.37723987610417,33.12183281710068,15.813693549003863,11.761830467253267,7.184472869106344,10.799715116056747,0.388375808765922,0.3865889470107788,0.6652465173293922,1.4257166270226271,Marc Kevin Goellner,196.0,19700922,R,GER
101810,4.864078811517723,2.949736147757256,73.50985430767466,44.90933233910749,31.32181369737295,14.280122175060228,11.375907719487433,3.949598485717564,6.664411494780314,0.42608999830520483,0.4992958586823874,0.5926402487017736,1.6489877573375855,Asif Ismail,,19700930,R,IND
101820,9.777777777777779,6.333333333333333,73.88888888888889,42.333333333333336,32.77777777777778,14.518518518518519,11.481481481481481,4.037037037037037,6.481481481481482,0.443609022556391,0.4600938967136151,0.6228571428571429,1.5438596466851342,Marc Rosset,201.0,19701107,R,SUI
101855,4.42379258919353,3.1765825398646323,74.31324308821841,45.04276471263049,30.148024549730412,13.776697258231042,11.321657928850852,4.311890558678445,7.705251806814272,0.40568845197539316,0.47066867447308425,0.5596041072746188,1.3926263585947252,Emmanuel Heussner,,19710203,R,MON
101868,10.862795426849726,6.073574948971972,87.77395676632734,53.41167291845689,38.8045967432971,16.652080082077745,13.429279536584431,4.715079188140285,7.477902320557748,0.44209692912218895,0.4846034144820013,0.6305350064787427,1.7885340183054872,Dick Norman,203.0,19710301,L,BEL
101869,3.0,5.0,60.0,35.0,22.0,9.0,8.0,7.0,10.0,0.36666666666666664,0.36,0.7,0.5999999988,Juan Luis Tati Rascon,,19710302,R,ESP
101871,4.0,4.0,57.0,33.0,21.0,10.0,8.0,5.0,8.0,0.3684210526315789,0.4166666666666667,0.625,0.9999999975,Alexander Reichel,193.0,19710303,R,USA
101885,14.661987298793402,4.875469146752186,82.7133690558336,47.11444398404901,37.42096191350235,19.056704988879165,13.361240551250333,3.2584636043140955,5.075405409570251,0.45241733398916767,0.5353168656202867,0.642010507804932,3.0072977240534007,Wayne Arthurs,190.0,19710318,L,AUS
101889,4.864078811517723,2.949736147757256,73.50985430767466,44.90933233910749,31.32181369737295,14.280122175060228,11.375907719487433,3.949598485717564,6.664411494780314,0.42608999830520483,0.4992958586823874,0.5926402487017736,1.6489877573375855,Todd Woodbridge,178.0,19710402,R,AUS
101895,4.619475354670949,3.0757619211502427,73.95618140797676,44.98346143550916,30.669708615349318,14.000441665710682,11.345768946911555,4.150871859584719,7.242656112576957,0.4147010842293346,0.4832284189753369,0.5731145860117094,1.501896264430129,Michael Brown B395,175.0,19710410,R,AUS
101897,3.7857142857142856,3.142857142857143,73.64285714285714,41.5,28.0,15.857142857142858,11.142857142857142,5.214285714285714,8.214285714285714,0.3802133850630456,0.4933333333333334,0.6347826086956523,1.20454545071281,Fernando Meligeni,180.0,19710412,L,BRA
101924,3.4285714285714284,5.714285714285714,87.28571428571429,50.857142857142854,34.285714285714285,16.285714285714285,13.428571428571429,5.0,9.428571428571429,0.39279869067103107,0.4470588235294116,0.5303030303030303,0.59999999895,Stefano Pescosolido,185.0,19710613,R,ITA
101938,4.182039405758862,2.474868073878628,76.50492715383733,48.95466616955375,34.16090684868647,13.140061087530114,11.937953859743716,3.224799242858782,6.332205747390157,0.4465190428845867,0.47694869732907574,0.5092694981030734,1.6898029567720412,Bernardo Mota,178.0,19710714,R,POR
101947,3.5,0.0,90.0,63.0,39.5,12.5,11.5,10.5,14.0,0.4388888888888889,0.46296296296296297,0.75,350000000.0,Vincenzo Santopadre,183.0,19710811,L,ITA
101956,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Mark Knowles,190.0,19710904,R,BAH
101960,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,Tamas Gyorgy,,19710907,R,HUN
101962,7.861329937256288,2.8780707574616033,80.39087988987036,51.862092400993404,37.66989216473558,13.903440104093999,12.53816480960305,4.002134640089212,6.410330905644661,0.4685841505446959,0.4873477398755481,0.6243257483892297,2.7314581789070504,Younes El Aynaoui,193.0,19710912,R,MAR
101964,11.882352941176471,6.470588235294118,77.41176470588235,45.1764705882353,34.588235294117645,14.823529411764707,12.352941176470589,4.235294117647059,7.176470588235294,0.44680851063829785,0.4598540145985403,0.5901639344262295,1.83636363352562,Goran Ivanisevic,193.0,19710913,L,CRO
101965,6.745809838129444,2.605814309204237,80.00995520100717,46.27612946114724,33.27314751899471,17.475937675570577,12.379208263582296,3.9833798089792127,6.462994649417731,0.41586259404099585,0.5180538314965263,0.6163365475380806,2.588753077460054,Wayne Ferreira,185.0,19710915,R,RSA
101976,4.864078811517723,2.949736147757256,73.50985430767466,44.90933233910749,31.32181369737295,14.280122175060228,11.375907719487433,3.949598485717564,6.664411494780314,0.42608999830520483,0.4992958586823874,0.5926402487017736,1.6489877573375855,Federico Dondo,,19711018,R,URU
101979,4.864078811517723,2.949736147757256,73.50985430767466,44.90933233910749,31.32181369737295,14.280122175060228,11.375907719487433,3.949598485717564,6.664411494780314,0.42608999830520483,0.4992958586823874,0.5926402487017736,1.6489877573375855,Ricardo Mena,,19711022,R,PAR
101990,12.857142857142858,5.428571428571429,79.57142857142857,41.285714285714285,33.285714285714285,18.19047619047619,12.19047619047619,3.8095238095238093,5.904761904761905,0.41831238779174146,0.47512437810945274,0.6451612903225806,2.368421048268698,Richard Krajicek,196.0,19711206,R,NED
101996,4.1302684409774,3.327813467936217,74.84883560858093,45.131719628312496,29.365498451302052,13.441080647011587,11.2854914017598,4.553418607319032,8.399145348170242,0.39233073183486494,0.4523009788680771,0.5421288022252165,1.2411357993353749,David Mullins,,19711214,R,IRL
102021,4.583333333333333,1.5833333333333333,66.41666666666667,36.916666666666664,25.5,13.666666666666666,10.833333333333334,2.1666666666666665,5.583333333333333,0.383939774153074,0.463276836158192,0.3880597014925373,2.894736823822715,Michael Chang,175.0,19720222,R,USA
102023,2.6666666666666665,2.6666666666666665,77.0,49.666666666666664,31.666666666666668,11.333333333333334,10.666666666666666,4.0,8.0,0.41125541125541126,0.4146341463414634,0.5,0.99999999625,Petr Luxa,190.0,19720303,R,CZE
102031,4.0,12.0,55.0,29.0,21.0,8.0,9.0,4.0,7.0,0.38181818181818183,0.3076923076923077,0.5714285714285714,0.3333333330555555,Sandor Noszaly,193.0,19720316,R,HUN
102033,4.717316737409659,3.025351611793048,73.77765056785591,44.9538097969485,30.93055064815877,14.1123138694505,11.357824455941905,4.0703625100378575,7.0113582654583,0.4192401141821513,0.48960560050326085,0.5805383715863786,1.5592623030753123,Abdelhak Hameurlaine,,19720319,R,ALG
